pair,pair_label,slice_type,slice_value,n,delta_mean,delta_median,delta_ci_low,delta_ci_high,flip_rate,wilcoxon_stat,wilcoxon_p,mcnemar_stat,mcnemar_p,cohens_h,wilcoxon_p_holm,wilcoxon_reject_holm,mcnemar_p_holm,mcnemar_reject_holm
fem_vs_orig,Effect of any feminine name vs original (total feminine effect),global,all,3815,-0.02366708777844906,0.0005217719008214772,-0.030777967162430288,-0.017114375438541173,0.09200524246395805,3229372.0,1.6571350958116682e-09,35.73789173789174,2.257305648268438e-09,-0.06017934501915212,1.6571350958116682e-09,True,2.257305648268438e-09,True
masc_vs_orig,Effect of any masculine name vs original (total masculine effect),global,all,3815,-0.002942208433523774,0.0008828472346067429,-0.009974257298745215,0.003209963830886406,0.0854521625163827,2801308.0,7.065945330400104e-35,4.6656441717791415,0.030771878027214948,-0.021230074709883695,7.065945330400104e-35,True,0.030771878027214948,True
neutral_vs_orig,Effect of bare prefix format (no name),global,all,3815,-0.038270074874162674,0.00014656782150268555,-0.046452705096453425,-0.030176020041108132,0.12110091743119267,3627361.5,0.8582825660705566,69.35281385281385,8.23350733880575e-17,-0.09620737118975065,0.8582825660705566,False,8.23350733880575e-17,True
fem_vs_neutral,Gender effect of feminine names net of prefix format,global,all,3815,0.014602985233068466,0.0004970431327819824,0.00975806072819978,0.019404167449101804,0.06998689384010486,2629029.5,0.0,16.314606741573034,5.36488182694742e-05,0.036028026170598526,0.0,True,5.36488182694742e-05,True
masc_vs_neutral,Gender effect of masculine names net of prefix format,global,all,3815,0.03532786667346954,0.0008772611618041992,0.02989163836464286,0.040832337364554404,0.0817824377457405,2255597.0,0.0,61.92628205128205,3.565586882034042e-15,0.07497729647986695,0.0,True,3.565586882034042e-15,True
fem_vs_masc,Feminine vs masculine direct comparison,global,all,3815,-0.020724883303046227,-0.00023049116134643555,-0.023099846160039305,-0.018494927091524005,0.0290956749672346,2325144.5,0.0,46.7027027027027,8.261498948616192e-12,-0.038949270309268424,0.0,True,8.261498948616192e-12,True
