target_ident,n,m1_accuracy,m1_macro_f1,m1_fpr,m1_fnr,m1_roc_auc,m2_accuracy,m2_macro_f1,m2_fpr,m2_fnr,m2_roc_auc,delta_accuracy,delta_macro_f1,delta_fpr,delta_fnr
asian people,510,0.5333333333333333,0.5114234651982804,0.32786885245901637,0.5103092783505154,0.643294743958087,0.5862745098039216,0.5607235142118863,0.2786885245901639,0.45618556701030927,0.688080953185736,0.05294117647058827,0.04930004901360585,-0.04918032786885246,-0.05412371134020616
disabled people,510,0.5176470588235295,0.4950007245326764,0.36065573770491804,0.520618556701031,0.6176060503633598,0.5,0.49454120043064076,0.1721311475409836,0.6030927835051546,0.6749619739732973,-0.01764705882352946,-0.00045952410203564664,-0.18852459016393444,0.08247422680412364
gay people,510,0.6078431372549019,0.5476798637718178,0.4918032786885246,0.36082474226804123,0.6161695115768125,0.7019607843137254,0.6096598118793933,0.5491803278688525,0.2190721649484536,0.6593607402399865,0.09411764705882353,0.061979948107575566,0.05737704918032793,-0.14175257731958762
immigrant,2,0.5,0.3333333333333333,,0.5,,1.0,1.0,,0.0,,0.5,0.6666666666666667,,-0.5
immigrants,458,0.5786026200873362,0.5491827106974372,0.32727272727272727,0.4511494252873563,0.6600052246603971,0.4519650655021834,0.4483648839943377,0.22727272727272727,0.6494252873563219,0.6528735632183909,-0.1266375545851528,-0.10081782670309947,-0.1,0.19827586206896558
jewish people,510,0.4803921568627451,0.47381945174439655,0.22950819672131148,0.6108247422680413,0.6557377049180327,0.6039215686274509,0.5664141414141415,0.3524590163934426,0.4097938144329897,0.6759865641372316,0.12352941176470583,0.09259468966974493,0.12295081967213115,-0.2010309278350516
trans people,510,0.41568627450980394,0.4156503283554544,0.11475409836065574,0.7319587628865979,0.6476043603177286,0.47058823529411764,0.46977281478629185,0.09836065573770492,0.6649484536082474,0.7051504140611795,0.0549019607843137,0.054122486430837446,-0.016393442622950824,-0.0670103092783505
women,510,0.4392156862745098,0.4337732919254658,0.28688524590163933,0.6469072164948454,0.6014027378739226,0.4980392156862745,0.49234789100410603,0.18032786885245902,0.6030927835051546,0.6857993915835727,0.05882352941176472,0.05857459907864021,-0.10655737704918031,-0.04381443298969079
no target,295,0.7186440677966102,0.4181459566074951,0.28135593220338984,,,0.6576271186440678,0.3967280163599182,0.3423728813559322,,,-0.06101694915254241,-0.021417940247576872,0.061016949152542355,
