group,functionality,n,n_pos,n_neg,accuracy,macro_f1,fpr,fnr,roc_auc
Five worst,derog_impl_h,140,140,0,0.2785714285714286,0.21787709497206703,,0.7214285714285714,
Five worst,derog_neg_emote_h,140,140,0,0.3,0.23076923076923078,,0.7,
Five worst,negate_pos_h,140,140,0,0.30714285714285716,0.23497267759562843,,0.6928571428571428,
Five worst,phrase_question_h,140,140,0,0.3142857142857143,0.2391304347826087,,0.6857142857142857,
Five worst,threat_norm_h,140,140,0,0.39285714285714285,0.28205128205128205,,0.6071428571428571,
Three best,target_obj_nh,65,0,65,0.9230769230769231,0.48,0.07692307692307693,,
Three best,ident_neutral_nh,140,0,140,0.8928571428571429,0.4716981132075472,0.10714285714285714,,
Three best,negate_neg_nh,140,0,140,0.8714285714285714,0.46564885496183206,0.12857142857142856,,
