model,n,n_pos,n_neg,accuracy,macro_f1,roc_auc,fpr,fnr
M1: ptaszynski,3815,2678,1137,0.5255570117955439,0.5199858132994617,0.6250568986819212,0.2990325417766051,0.5489171023151606
M2: TrelBERT,3815,2678,1137,0.5549148099606815,0.5473558567094696,0.658599697985409,0.2858399296394019,0.5126960418222554
