pair,pair_label,slice_type,slice_value,n,delta_mean,delta_median,delta_ci_low,delta_ci_high,flip_rate,wilcoxon_stat,wilcoxon_p,mcnemar_stat,mcnemar_p,cohens_h,wilcoxon_p_holm,wilcoxon_reject_holm,mcnemar_p_holm,mcnemar_reject_holm
fem_vs_masc,Feminine vs masculine direct comparison,functionality,spell_char_swap_h,140,-0.018580961972475052,-0.00011748075485229492,-0.03305489532649517,-0.005044246499892325,0.07857142857142857,4025.0,0.05837545171380043,2.0,0.0654296875,-0.10062289470135188,0.408628161996603,False,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,spell_leet_h,176,-0.016597488895058632,-0.0008895390201359987,-0.02810071911662817,-0.005456931248772894,0.045454545454545456,4500.0,1.1891544318132219e-06,2.0,0.2890625,-0.045963115849969594,2.2593934204451216e-05,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,ref_subs_clause_h,140,-0.011561116203665733,-0.00015553832054138184,-0.020781500171869992,-0.0030330711975693706,0.02857142857142857,2938.0,3.2684358302503824e-05,0.0,0.125,-0.05774355049572155,0.0004248966579325497,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,spell_char_del_h,140,-0.01150644663721323,-0.00012502225581556559,-0.018591706873849034,-0.0050574567285366365,0.007142857142857143,2629.0,1.6133966482811957e-06,0.0,1.0,-0.014419251687602053,2.9041139669061522e-05,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,negate_pos_h,140,-0.009651347063481808,0.00029663415625691414,-0.021637167688459157,0.0008597583248047144,0.04285714285714286,3917.0,0.03421609476208687,3.0,1.0,0.0,0.27372875809669495,False,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,profanity_h,140,-0.006149645894765854,-4.00543212890625e-05,-0.014654537755995988,0.0010424229578347868,0.014285714285714285,2868.5,1.7197746274177916e-05,0.0,0.5,-0.04001837184206769,0.00025796619411266875,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,target_group_nh,65,-0.005901774857193232,-0.00014847517013549805,-0.017585206078365445,0.005119319795630868,0.0,855.0,0.15521548688411713,,1.0,0.0,0.7760774344205856,False,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,target_obj_nh,65,-0.004111067857593298,-0.00012500176671892405,-0.011200909176841379,0.0010350024793297052,0.0,825.0,0.10579270124435425,,1.0,0.0,0.6347562074661255,False,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,derog_impl_h,140,-0.003923407755792141,-5.1596376579254866e-05,-0.013502302765846252,0.005714781011920422,0.02142857142857143,4892.0,0.9287297129631042,1.0,1.0,-0.01587180008651079,1.0,False,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,ref_subs_sent_h,140,-0.0025018304586410522,-7.170112803578377e-05,-0.009335057809948921,0.004898456076625733,0.02142857142857143,3490.5,0.00265870476141572,1.0,1.0,-0.014519220306620007,0.02392834285274148,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,threat_norm_h,140,-0.001966208918020129,-4.230980994179845e-05,-0.01064461963251233,0.006140193599276244,0.014285714285714285,4489.0,0.35355621576309204,1.0,1.0,0.0,1.0,False,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,negate_neg_nh,140,-0.0011210305383428931,0.0003238923382014036,-0.011599016468971967,0.008445243979804213,0.02142857142857143,3087.0,0.00012105601490475237,0.0,0.25,-0.06332526470123157,0.0014225101622287184,True,1.0,False
fem_vs_masc,Feminine vs masculine direct comparison,functionality,derog_dehum_h,140,0.0005280262557789683,-3.87728214263916e-05,-0.008449131809175014,0.009195588226430115,0.03571428571428571,4917.0,0.9701331257820129,2.0,1.0,0.014347830655664362,1.0,False,1.0,False
