target_ident,n,n_pos,n_neg,accuracy,macro_f1,fpr,fnr,roc_auc
immigrants,458,348,110,0.4519650655021834,0.4483648839943377,0.22727272727272727,0.6494252873563219,0.6528735632183909
trans people,510,388,122,0.47058823529411764,0.46977281478629185,0.09836065573770492,0.6649484536082474,0.7051504140611795
women,510,388,122,0.4980392156862745,0.49234789100410603,0.18032786885245902,0.6030927835051546,0.6857993915835727
disabled people,510,388,122,0.5,0.49454120043064076,0.1721311475409836,0.6030927835051546,0.6749619739732973
asian people,510,388,122,0.5862745098039216,0.5607235142118863,0.2786885245901639,0.45618556701030927,0.688080953185736
jewish people,510,388,122,0.6039215686274509,0.5664141414141415,0.3524590163934426,0.4097938144329897,0.6759865641372316
no target,295,0,295,0.6576271186440678,0.3967280163599182,0.3423728813559322,,
gay people,510,388,122,0.7019607843137254,0.6096598118793933,0.5491803278688525,0.2190721649484536,0.6593607402399865
immigrant,2,2,0,1.0,1.0,,0.0,
