pair,pair_label,slice_type,slice_value,n,delta_mean,delta_median,delta_ci_low,delta_ci_high,flip_rate,wilcoxon_stat,wilcoxon_p,mcnemar_stat,mcnemar_p,cohens_h,wilcoxon_p_holm,wilcoxon_reject_holm,mcnemar_p_holm,mcnemar_reject_holm
fem_vs_masc,Feminine vs masculine direct comparison,target_ident,gay people,510,-0.054282959550619125,-0.004065933637320995,-0.06335636880248785,-0.04615228483453393,0.049019607843137254,10103.0,0.0,19.36,1.0825087815407719e-05,-0.0975009822937618,0.0,True,8.660070252326175e-05,True
fem_vs_masc,Feminine vs masculine direct comparison,target_ident,women,510,-0.030538665130734444,-0.00043198117054998875,-0.0377120521850884,-0.02412732345983386,0.03333333333333333,24087.5,6.015846609863044e-35,0.0,1.52587890625e-05,-0.07167993661336602,4.211092626904131e-34,True,0.0001068115234375,True
fem_vs_masc,Feminine vs masculine direct comparison,target_ident,no target,295,-0.025588469579815865,-0.00030211074044927955,-0.034548142831772564,-0.017197565361857414,0.013559322033898305,10013.0,7.714221277011716e-16,0.0,0.125,-0.029736812238225996,4.6285327662070296e-15,True,0.5,False
fem_vs_masc,Feminine vs masculine direct comparison,target_ident,asian people,510,-0.019468793645501137,-0.0003308490850031376,-0.025630134716629983,-0.01384875737130642,0.03529411764705882,41988.0,3.4766959276788523e-12,7.0,0.480682373046875,-0.01576237605032227,1.738347963839426e-11,True,0.713653564453125,False
fem_vs_masc,Feminine vs masculine direct comparison,target_ident,trans people,510,-0.013182541355490685,-0.0003286652499809861,-0.017802830785512924,-0.008367520500905813,0.0196078431372549,42577.0,1.2011266113665098e-11,1.0,0.021484375,-0.03398478883344214,4.804506445466039e-11,True,0.12890625,False
fem_vs_masc,Feminine vs masculine direct comparison,target_ident,disabled people,510,-0.009906712919473648,-3.817596007138491e-05,-0.015457679005339741,-0.004480921104550364,0.0196078431372549,58262.0,0.038507018238306046,3.0,0.34375,-0.016846914115578704,0.11552105471491814,False,0.713653564453125,False
fem_vs_masc,Feminine vs masculine direct comparison,target_ident,immigrants,458,-0.009138540364801884,-3.4903816413134336e-05,-0.014455692283809185,-0.004036599025130272,0.019650655021834062,50723.0,0.5179003477096558,1.0,0.0390625,-0.032277173959380345,1.0,False,0.1953125,False
fem_vs_masc,Feminine vs masculine direct comparison,target_ident,jewish people,510,-0.004642634652554989,-3.781914710998535e-05,-0.010807099286466837,0.0007667741665500214,0.03529411764705882,64597.5,0.8676198124885559,6.0,0.237884521484375,-0.02354154479694448,1.0,False,0.713653564453125,False
fem_vs_masc,Feminine vs masculine direct comparison,target_ident,immigrant,2,1.8775463104248047e-06,1.8775463104248047e-06,-2.5928020477294922e-05,2.968311309814453e-05,0.0,,,,,0.0,,False,,False
