pair,m1_delta_mean,m1_delta_ci_low,m1_delta_ci_high,m1_flip_rate,m1_cohens_h,m2_delta_mean,m2_delta_ci_low,m2_delta_ci_high,m2_flip_rate,m2_cohens_h,delta_difference_m2_minus_m1,flip_difference_m2_minus_m1
fem_vs_orig,-0.1825578361749649,-0.1902733977884054,-0.17482574209570884,0.19868938401048492,-0.436322248824927,-0.02366708777844906,-0.030777967162430288,-0.017114375438541173,0.09200524246395805,-0.06017934501915212,0.15889074839651585,-0.10668414154652686
masc_vs_orig,-0.14846006035804749,-0.1549368303269148,-0.14203051961958407,0.16068152031454783,-0.34538621544974424,-0.002942208433523774,-0.009974257298745215,0.003209963830886406,0.0854521625163827,-0.021230074709883695,0.1455178519245237,-0.07522935779816513
neutral_vs_orig,-0.14209282398223877,-0.14844331070780753,-0.1359717771410942,0.15281782437745742,-0.3272013885920557,-0.038270074874162674,-0.046452705096453425,-0.030176020041108132,0.12110091743119267,-0.09620737118975065,0.1038227491080761,-0.03171690694626475
fem_vs_neutral,-0.04046500846743584,-0.04337151776999235,-0.03768578469753266,0.04849279161205767,-0.10912086023287126,0.014602985233068466,0.00975806072819978,0.019404167449101804,0.06998689384010486,0.036028026170598526,0.0550679937005043,0.021494102228047186
masc_vs_neutral,-0.006367237772792578,-0.008793164533562959,-0.00397255492862314,0.03302752293577982,-0.01818482685768852,0.03532786667346954,0.02989163836464286,0.040832337364554404,0.0817824377457405,0.07497729647986695,0.04169510444626212,0.04875491480996068
fem_vs_masc,-0.03409776836633682,-0.0362230728380382,-0.03183656958863139,0.03800786369593709,-0.09093603337518275,-0.020724883303046227,-0.023099846160039305,-0.018494927091524005,0.0290956749672346,-0.038949270309268424,0.013372885063290596,-0.008912188728702489
